SnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comments,
95454007,Brain stem hemorrhage (disorder),Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
20908003,Subcortical cerebral hemorrhage (disorder),Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
230709005,Massive supratentorial cerebral hemorrhage (disorder),Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
230711001,Thalamic hemorrhage (disorder),Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
308128006,"Right sided intracerebral hemorrhage, unspecified",Stroke - Manchester,,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv,
1078001000000105,Haemorrhagic stroke (disorder),Caliber - Haemorrhagic,,['Caliber'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv,
230706003,Hemorrhagic cerebral infarction (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
272202251000119000,Acute cerebrovascular accident due to occlusion of right middle cerebral artery (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
291511000119103,Spontaneous hemorrhage of deep cerebral hemisphere (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
291531000119108,Spontaneous hemorrhage of cerebral hemisphere (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
291541000119104,Spontaneous hemorrhage of brain stem (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
5571000124103,Cerebrovascular accident with intracranial hemorrhage (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
1078001000000100,Haemorrhagic stroke (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
1260271009,Hemorrhagic cerebral infarction due to hypertension (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
195185009,Cerebral infarct due to thrombosis of precerebral arteries (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
290641000119107,Dysphagia due to and following non-traumatic intracerebral hemorrhage (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
291521000119105,Spontaneous hemorrhage of cortical intracerebral hemisphere (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
290641000119107,Dysphagia due to and following non-traumatic intracerebral hemorrhage (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
291531000119108,Spontaneous hemorrhage of cerebral hemisphere (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
1078001000000100,Haemorrhagic stroke (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
291511000119103,Spontaneous hemorrhage of deep cerebral hemisphere (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
291521000119105,Spontaneous hemorrhage of cortical intracerebral hemisphere (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
291541000119104,Spontaneous hemorrhage of brain stem (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
5571000124103,Cerebrovascular accident with intracranial hemorrhage (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
1508000,Intracerebral hemorrhage (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
195163003,Intracerebral haemorrhage (& [cerebrovascular accident due to]),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
1163482004,Hemorrhagic cerebral infarction caused by Aspergillus (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
1259499007,Dementia due to hemorrhagic cerebral infarction due to hypertension (disorder),Stroke - Manchester,,['Manchester'],ManchesterRichardWilliams_Stroke.csv,
