,SnomedCTConceptId,MedCodeId,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments
22,230710000,345675012,1000,G619,G619.00,Lobar cerebral haemorrhage,345675012,NA,32,Lobar cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
23,230711001,5011421000006117,5,^ESCTTH501142,NA,Thalamic hemorrhage,345677016,NA,32,Thalamic hemorrhage (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
24,230711001,5011411000006113,700,^ESCTTH501141,NA,Thalamic haemorrhage,345676013,NA,32,Thalamic hemorrhage (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
25,230712008,5011431000006119,20,^ESCTLA501143,NA,Lacunar haemorrhage,345679018,NA,32,Lacunar hemorrhage (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
26,272202251000119008,NA,NA,NA,NA,NA,NA,NA,NA,Acute cerebrovascular accident due to occlusion of right middle cerebral artery (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
27,274100004,12223131000006114,7,^ESCT1222313,NA,ICH - intracerebral hemorrhage,3673218019,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
28,274100004,744921000006116,600,G61X,G61X.00,"Intracerebral haemorrhage in hemisphere, unspecified",409860011,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
29,274100004,989211000006119,1,G61-98,G61..98,Cerebral haemorrhage NOS,9.89211E+14,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
30,274100004,884421000006119,1000,G6-99,G6...99,Cerebral haemorrhage,8.84421E+14,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
31,274100004,605471000006112,50000,G61-1,G61..11,Cerebral hemorrhage,409859018,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
32,274100004,12223111000006115,30,^ESCT1222311,NA,Intracerebral hemorrhage,3673216015,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
33,274100004,122371000006118,30000,G61-2,G61..12,Cerebral haemorrhage,409860011,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
34,274100004,744901000006114,90000,G61,G61..00,Intracerebral haemorrhage (ICH),2819959010,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
35,274100004,12223121000006111,80,^ESCT1222312,NA,ICH - intracerebral haemorrhage,3673217012,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
36,274100004,300956017,500,Gyu6F,Gyu6F00,"[X]Intracerebral haemorrhage in hemisphere, unspecified",409860011,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
37,274100004,989201000006117,1,G61-99,G61..99,Cerebral haemorrhage,9.89201E+14,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
38,274100004,12223101000006118,700,^ESCT1222310,NA,Intracerebral haemorrhage,3673215016,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
39,274100004,748941000006115,1000,G61X0,G61X000,"Left sided intracerebral haemorrhage, unspecified",409859018,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
40,274100004,300287010,4000,G61z,G61z.00,Intracerebral haemorrhage NOS,2819959010,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
41,274100004,300939013,2000,Gyu62,Gyu6200,Cerebral haemorrhage,409860011,NA,32,Cerebral hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
42,276222004,5582351000006111,4,^ESCTTO558235,NA,Top of basilar syndrome,412273014,NA,32,Top of basilar syndrome (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
43,276722003,5589651000006114,1,^ESCTIN558965,NA,Intracerebellar and posterior fossa hemorrhage,412997011,NA,32,Intracerebellar and posterior fossa hemorrhage (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
44,276722003,5589641000006112,50,^ESCTIN558964,NA,Intracerebellar and posterior fossa haemorrhage,412998018,NA,32,Intracerebellar and posterior fossa hemorrhage (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
45,290641000119107,3506623013,2,^ESCT1170669,NA,Dysphagia due to and following non-traumatic intracerebral haemorrhage,3506623013,NA,32,Dysphagia due to and following non-traumatic intracerebral hemorrhage (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
46,290641000119107,3506623013,2,^ESCT1170669,NA,Dysphagia due to and following non-traumatic intracerebral haemorrhage,3506623013,NA,32,Dysphagia due to and following non-traumatic intracerebral hemorrhage (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
47,291511000119103,3507363011,2,^ESCT1170706,NA,Spontaneous haemorrhage of deep cerebral hemisphere,3507363011,NA,32,Spontaneous hemorrhage of deep cerebral hemisphere (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
48,291511000119103,3507363011,2,^ESCT1170706,NA,Spontaneous haemorrhage of deep cerebral hemisphere,3507363011,NA,32,Spontaneous hemorrhage of deep cerebral hemisphere (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
49,291521000119105,3507383012,70,^ESCT1170710,NA,Spontaneous haemorrhage of cortical intracerebral hemisphere,3507383012,NA,32,Spontaneous hemorrhage of cortical intracerebral hemisphere (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
50,291521000119105,3507383012,70,^ESCT1170710,NA,Spontaneous haemorrhage of cortical intracerebral hemisphere,3507383012,NA,32,Spontaneous hemorrhage of cortical intracerebral hemisphere (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
51,291531000119108,3507370011,30,^ESCT1170714,NA,Spontaneous haemorrhage of cerebral hemisphere,3507370011,NA,32,Spontaneous hemorrhage of cerebral hemisphere (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
52,291531000119108,3507370011,30,^ESCT1170714,NA,Spontaneous haemorrhage of cerebral hemisphere,3507370011,NA,32,Spontaneous hemorrhage of cerebral hemisphere (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
53,291541000119104,3507359016,8,^ESCT1170718,NA,Spontaneous haemorrhage of brain stem,3507359016,NA,32,Spontaneous hemorrhage of brain stem (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
54,291541000119104,3507359016,8,^ESCT1170718,NA,Spontaneous haemorrhage of brain stem,3507359016,NA,32,Spontaneous hemorrhage of brain stem (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
55,308128006,NA,NA,NA,NA,NA,NA,NA,NA,"Right sided intracerebral hemorrhage, unspecified",Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
56,49422009,495394013,800,G610,G610.00,Cortical haemorrhage,495394013,NA,32,Cortical hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
57,52201006,496232015,1000,G611,G611.00,Internal capsule haemorrhage,496232015,NA,32,Internal capsule hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
58,52201006,3346051000006110,1,^ESCTIN334605,NA,Internal capsule hemorrhage,86879010,NA,32,Internal capsule hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
59,5571000124103,14802151000006119,10,^ESCT1480215,NA,Cerebrovascular accident with intracranial haemorrhage,4964984018,NA,32,Cerebrovascular accident with intracranial hemorrhage (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
60,5571000124103,14802151000006119,10,^ESCT1480215,NA,Cerebrovascular accident with intracranial haemorrhage,4964984018,NA,32,Cerebrovascular accident with intracranial hemorrhage (disorder),Stroke - Manchester,NA,['Manchester'],ManchesterRichardWilliams_Stroke.csv
61,732923001,483988011,50,G615,G615.00,Bulbar haemorrhage,3467313018,NA,32,Hemorrhage of medulla oblongata (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
62,732923001,7951271000006116,2,^ESCTHA795127,NA,Haemorrhage of medulla oblongata,3467314012,NA,32,Hemorrhage of medulla oblongata (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
63,75038005,3719861000006119,1,^ESCTHA371986,NA,Haemorrhagic cerebellum,124628014,NA,32,Cerebellar hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
64,75038005,3719851000006116,3,^ESCTCE371985,NA,Cerebellar hemorrhage,124627016,NA,32,Cerebellar hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
65,75038005,502878012,10000,G613,G613.00,Cerebellar haemorrhage,502878012,NA,32,Cerebellar hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
66,7713009,2622651000006119,1,^ESCTPO262265,NA,Pontine hemorrhage,13756016,NA,32,Intrapontine hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
67,7713009,503469016,3000,G614,G614.00,Pontine haemorrhage,503469016,NA,32,Intrapontine hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
68,7713009,2622631000006114,40,^ESCTIN262263,NA,Intrapontine haemorrhage,503468012,NA,32,Intrapontine hemorrhage,Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
69,95454007,4056951000006111,4,^ESCTBR405695,NA,Brainstem haemorrhage,1217312010,NA,32,Brain stem hemorrhage (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
70,95454007,4056931000006116,80,^ESCTBR405693,NA,Brain stem haemorrhage,512138014,NA,32,Brain stem hemorrhage (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
71,95454007,4056941000006114,1,^ESCTBR405694,NA,Brain stem hemorrhage,158109012,NA,32,Brain stem hemorrhage (disorder),Stroke - Manchester,NA,['Caliber AND Either (efi OR Lauren_codelist) AND Manchester'],Stroke_Haemorrhagic_Caliber_EFI_LaurenCombined.csv And ManchesterRichardWilliams_Stroke.csv
