SnomedCTConceptId,Term,Disease,Manual/New Disease Name,Otherinstructions,origin,Comments,,,,,,
187776004,Malig neop interlob bil canals,Cancer,,,['efi'],,,,,,,
187777008,malignant neoplasm of intrahepatic bile ducts,Cancer,,,['efi'],,,,,,,
187784000,malignant neoplasm of hepatic duct,Cancer,,,['efi'],,,,,,,
187786003,Malig neop sphincter of Oddi,Cancer,,,['efi'],,,,,,,
187801002,Malig neop retroperit/periton,Cancer,,,['efi'],,,,,,,
187803004,Malig neop perinephric tissue,Cancer,,,['efi'],,,,,,,
187804005,malignant neoplasm of retrocaecal tissue,Cancer,,,['efi'],,,,,,,
187808008,malignant neoplasm of specified parts of peritoneum,Cancer,,,['efi'],,,,,,,
187809000,Malig neop of mesocolon,Cancer,,,['efi'],,,,,,,
187810005,Malig neop of mesocaecum,Cancer,,,['efi'],,,,,,,
187811009,malignant neoplasm of mesorectum,Cancer,,,['efi'],,,,,,,
187814001,malignant neoplasm of the pouch of douglas,Cancer,,,['efi'],,,,,,,
187821001,Angiosarcoma of spleen,Cancer,,,['efi'],,,,,,,
187822008,fibrosarcoma of spleen,Cancer,,,['efi'],,,,,,,
187824009,"malignant neoplasm, overlapping lesion of digestive system",Cancer,,,['efi'],,,,,,,
187828007,"Malig neop nose,mid ear,sinus",Cancer,,,['efi'],,,,,,,
187829004,malignant neoplasm of cartilage of nose,Cancer,,,['efi'],,,,,,,
187830009,Malig neop nasal conchae,Cancer,,,['efi'],,,,,,,
187831008,Malig neop vestibule of nose,Cancer,,,['efi'],,,,,,,
187833006,Malig neop middle ear,Cancer,,,['efi'],,,,,,,
187834000,Malig neop eustachian tube,Cancer,,,['efi'],,,,,,,
187835004,Malig neop tympanic cavity,Cancer,,,['efi'],,,,,,,
187836003,Malig neop tympanic antrum,Cancer,,,['efi'],,,,,,,
187838002,"malignant neoplasm, overlapping lesion of accessory sinuses",Cancer,,,['efi'],,,,,,,
187845002,Malig neop cuneiform cartilage,Cancer,,,['efi'],,,,,,,
187853005,Malig neop cartilage trachea,Cancer,,,['efi'],,,,,,,
187881004,"malignant neoplasm of thymus, heart and mediastinum",Cancer,,,['efi'],,,,,,,
187900002,Malig neop bones of skull/face,Cancer,,,['efi'],,,,,,,
187903000,Malig neop malar bone,Cancer,,,['efi'],,,,,,,
187906008,malignant neoplasm of orbital bone,Cancer,,,['efi'],,,,,,,
187916000,malignant neoplasm of cervical vertebra,Cancer,,,['efi'],,,,,,,
187917009,malignant neoplasm of thoracic vertebra,Cancer,,,['efi'],,,,,,,
187918004,Malig neop lumbar vertebra,Cancer,,,['efi'],,,,,,,
187920001,"malignant neoplasm of ribs, sternum and clavicle",Cancer,,,['efi'],,,,,,,
187925006,malignant neoplasm of costal cartilage,Cancer,,,['efi'],,,,,,,
187926007,Malig neop costo-vertebral jnt,Cancer,,,['efi'],,,,,,,
187927003,malignant neoplasm of xiphoid process,Cancer,,,['efi'],,,,,,,
187929000,Malig neop scap/arm long bone,Cancer,,,['efi'],,,,,,,
187932002,Malignant neoplasm of humerus,Cancer,,,['efi'],,,,,,,
187937008,malignant neoplasm of carpal bone - scaphoid,Cancer,,,['efi'],,,,,,,
187938003,malignant neoplasm of carpal bone - lunate,Cancer,,,['efi'],,,,,,,
187939006,Malig neop carpal - triquetrum,Cancer,,,['efi'],,,,,,,
187940008,Malig neop carpal - pisiform,Cancer,,,['efi'],,,,,,,
187941007,Malig neop carpal - trapezium,Cancer,,,['efi'],,,,,,,
187942000,Malig neop carpal - trapezoid,Cancer,,,['efi'],,,,,,,
187943005,Malig neop carpal - capitate,Cancer,,,['efi'],,,,,,,
187944004,Malig neop carpal - hamate,Cancer,,,['efi'],,,,,,,
187945003,Malig neop first metacarpal,Cancer,,,['efi'],,,,,,,
187946002,Malig neop second metacarpal,Cancer,,,['efi'],,,,,,,
187947006,Malig neop third metacarpal,Cancer,,,['efi'],,,,,,,
187948001,Malig neop fourth metacarpal,Cancer,,,['efi'],,,,,,,
187949009,Malig neop fifth metacarpal,Cancer,,,['efi'],,,,,,,
187950009,Malig neop phalanges of hand,Cancer,,,['efi'],,,,,,,
187952001,Malig neop pelvis/sacrum/coccy,Cancer,,,['efi'],,,,,,,
187956003,malignant neoplasm of sacral vertebra,Cancer,,,['efi'],,,,,,,
187957007,malignant neoplasm of coccygeal vertebra,Cancer,,,['efi'],,,,,,,
187967002,Malig neop calcaneum,Cancer,,,['efi'],,,,,,,
187968007,Malig neop medial cuneiform,Cancer,,,['efi'],,,,,,,
187969004,Malig neop intermed cuneiform,Cancer,,,['efi'],,,,,,,
187970003,Malig neop lateral cuneiform,Cancer,,,['efi'],,,,,,,
187972006,Malig neop navicular,Cancer,,,['efi'],,,,,,,
187973001,malignant neoplasm of first metatarsal bone,Cancer,,,['efi'],,,,,,,
187974007,Malig neop second metatarsal,Cancer,,,['efi'],,,,,,,
187975008,Malig neop third metatarsal,Cancer,,,['efi'],,,,,,,
187976009,malignant neoplasm of fourth metatarsal bone,Cancer,,,['efi'],,,,,,,
187977000,Malig neop fifth metatarsal,Cancer,,,['efi'],,,,,,,
187978005,Malig neop phalanges of foot,Cancer,,,['efi'],,,,,,,
187987001,malignant neoplasm of cartilage of ear,Cancer,,,['efi'],,,,,,,
187988006,Malig neop tarsus of eyelid,Cancer,,,['efi'],,,,,,,
187989003,"Malignancy, soft tiss-Cx spine",Cancer,,,['efi'],,,,,,,
187991006,Malig neop soft tis arm/should,Cancer,,,['efi'],,,,,,,
187992004,malignant neoplasm of connective and soft tissue of shoulder,Cancer,,,['efi'],,,,,,,
187993009,Malig neop soft tiss upper arm,Cancer,,,['efi'],,,,,,,
187994003,Malig neop soft tiss fore-arm,Cancer,,,['efi'],,,,,,,
187995002,Malig neop soft tissue hand,Cancer,,,['efi'],,,,,,,
187996001,malignant neoplasm of connective and soft tissue of finger,Cancer,,,['efi'],,,,,,,
187997005,Malig neop soft tissue thumb,Cancer,,,['efi'],,,,,,,
187999008,malig neop of connective and soft tissue of hip and leg,Cancer,,,['efi'],,,,,,,
188001003,Malig neop tis thigh/upper leg,Cancer,,,['efi'],,,,,,,
188002005,malig neop connective and soft tissue of popliteal space,Cancer,,,['efi'],,,,,,,
188003000,malig neop of connective and soft tissue of lower leg,Cancer,,,['efi'],,,,,,,
188004006,malignant neoplasm of connective and soft tissue of foot,Cancer,,,['efi'],,,,,,,
188005007,Malig neop soft tissue toe,Cancer,,,['efi'],,,,,,,
188006008,Malig neop soft tiss great toe,Cancer,,,['efi'],,,,,,,
188009001,Malig neop soft tissue thorax,Cancer,,,['efi'],,,,,,,
188010006,malignant neoplasm of connective and soft tissue of axilla,Cancer,,,['efi'],,,,,,,
188013008,"Malignancy, soft tiss-th spine",Cancer,,,['efi'],,,,,,,
188015001,Malig neop soft tissue abdomen,Cancer,,,['efi'],,,,,,,
188016000,malig neop of connective and soft tissue of abdominal wall,Cancer,,,['efi'],,,,,,,
188017009,"Malignancy, soft tiss-lu spine",Cancer,,,['efi'],,,,,,,
188019007,malignant neoplasm of connective and soft tissue of pelvis,Cancer,,,['efi'],,,,,,,
188020001,Malig neop soft tissue buttock,Cancer,,,['efi'],,,,,,,
188021002,Malig neop tis inguinal region,Cancer,,,['efi'],,,,,,,
188022009,malignant neoplasm of connective and soft tissue of perineum,Cancer,,,['efi'],,,,,,,
188023004,"Malignancy, soft tiss-sac+cocc",Cancer,,,['efi'],,,,,,,
188029000,Kaposi's sarc of soft tissue,Cancer,,,['efi'],,,,,,,
188204000,Malig neop round ligament,Cancer,,,['efi'],,,,,,,
188208002,Malig neop Gartner's duct,Cancer,,,['efi'],,,,,,,
188209005,malignant neoplasm of vaginal vault,Cancer,,,['efi'],,,,,,,
188211001,malignant neoplasm of greater vestibular (bartholin's) gland,Cancer,,,['efi'],,,,,,,
188220005,Malig neop ectopic testis,Cancer,,,['efi'],,,,,,,
188230001,Malig neop body of penis,Cancer,,,['efi'],,,,,,,
188234005,Malig neop seminal vesicle,Cancer,,,['efi'],,,,,,,
188235006,Malig neop tunica vaginalis,Cancer,,,['efi'],,,,,,,
188252005,Malig neop renal calyces,Cancer,,,['efi'],,,,,,,
188261005,"malig neop eyeball excl conjunctiva, cornea, retina, choroid",Cancer,,,['efi'],,,,,,,
188263008,Malig neop ciliary body,Cancer,,,['efi'],,,,,,,
188264002,Malignant neoplasm of iris,Cancer,,,['efi'],,,,,,,
188265001,Malig neop crystalline lens,Cancer,,,['efi'],,,,,,,
188266000,Malignant neoplasm of sclera,Cancer,,,['efi'],,,,,,,
188268004,malignant neoplasm of connective tissue of orbit,Cancer,,,['efi'],,,,,,,
188269007,Malig neop extraoc musc orbit,Cancer,,,['efi'],,,,,,,
188272000,malignant neoplasm of lacrimal gland,Cancer,,,['efi'],,,,,,,
188274004,malignant neoplasm of nasolacrimal duct,Cancer,,,['efi'],,,,,,,
188283009,Malig neop corpus striatum,Cancer,,,['efi'],,,,,,,
188290004,Malignant neoplasm of uncus,Cancer,,,['efi'],,,,,,,
188293002,Malig neop floor of ventricle,Cancer,,,['efi'],,,,,,,
188302003,Malignant neoplasm of tapetum,Cancer,,,['efi'],,,,,,,
188307009,Malig neop cranial nerves,Cancer,,,['efi'],,,,,,,
188308004,Malig neop olfactory bulb,Cancer,,,['efi'],,,,,,,
188312005,Malig neop cerebral dura mater,Cancer,,,['efi'],,,,,,,
188313000,Malig neop cereb arach mater,Cancer,,,['efi'],,,,,,,
188315007,Malig neop cerebral pia mater,Cancer,,,['efi'],,,,,,,
188317004,Malig neop spinal dura mater,Cancer,,,['efi'],,,,,,,
188318009,Malig neop spinal arach mater,Cancer,,,['efi'],,,,,,,
188319001,Malig neop spinal pia mater,Cancer,,,['efi'],,,,,,,
188321006,malig neopl peripheral nerves and autonomic nervous system,Cancer,,,['efi'],,,,,,,
188322004,"malignant neoplasm of peripheral nerves of head, face & neck",Cancer,,,['efi'],,,,,,,
188323009,"Mal neo per nv up limb, inc sh",Cancer,,,['efi'],,,,,,,
188324003,"Mal neo per nv low lmb,inc hip",Cancer,,,['efi'],,,,,,,
188325002,Malig neopl periph nerv thorax,Cancer,,,['efi'],,,,,,,
188326001,Malig neopl periph nerve abdom,Cancer,,,['efi'],,,,,,,
188327005,Malig neopl periph nerv pelvis,Cancer,,,['efi'],,,,,,,
188339002,Malig neop pit+craniophar duct,Cancer,,,['efi'],,,,,,,
188340000,Malig neop craniophary duct,Cancer,,,['efi'],,,,,,,
188353002,"Malig neop head, neck and face",Cancer,,,['efi'],,,,,,,
188361007,Malignant neoplasm of thorax,Cancer,,,['efi'],,,,,,,
188366002,Malignant neoplasm of abdomen,Cancer,,,['efi'],,,,,,,
188445006,2-malig neop retroperit/perit,Cancer,,,['efi'],,,,,,,
188454009,secondary malignant neoplasm of skin of head,Cancer,,,['efi'],,,,,,,
188458007,secondary malignant neoplasm of skin of shoulder and arm,Cancer,,,['efi'],,,,,,,
188459004,secondary malignant neoplasm of skin of hip and leg,Cancer,,,['efi'],,,,,,,
188462001,secondary malignant neoplasm of brain and spinal cord,Cancer,,,['efi'],,,,,,,
188469005,Secondary cancer of the cervix,Cancer,,,['efi'],,,,,,,
188471005,2-malig neop epididy/vas defer,Cancer,,,['efi'],,,,,,,
188478004,[X]Mal neo/prim-mult sit clasf,Cancer,,,['efi'],,,,,,,
188487008,Lymphosarcoma/reticulosarcoma,Cancer,,,['efi'],,,,,,,
188489006,Reticulosarcoma-head/face/neck,Cancer,,,['efi'],,,,,,,
188492005,Reticulosarcoma - axilla / arm,Cancer,,,['efi'],,,,,,,
188493000,Reticulosarcoma - inguinal/leg,Cancer,,,['efi'],,,,,,,
188498009,lymphosarcoma,Cancer,,,['efi'],,,,,,,
188500005,"lymphosarcoma of lymph nodes of head, face and neck",Cancer,,,['efi'],,,,,,,
188501009,Lymphosarcoma - intrathoracic,Cancer,,,['efi'],,,,,,,
188502002,Lymphosarcoma-intra-abdominal,Cancer,,,['efi'],,,,,,,
188503007,Lymphosarcoma - axilla or arm,Cancer,,,['efi'],,,,,,,
188504001,Lymphosarcoma - inguinal / leg,Cancer,,,['efi'],,,,,,,
188505000,Lymphosarcoma - intrapelvic,Cancer,,,['efi'],,,,,,,
188506004,Lymphosarcoma of spleen,Cancer,,,['efi'],,,,,,,
188507008,Lymphosarcoma - multiple sites,Cancer,,,['efi'],,,,,,,
188510001,"burkitt's lymphoma of lymph nodes of head, face and neck",Cancer,,,['efi'],,,,,,,
188511002,Burkitt's lymph-intrathoracic,Cancer,,,['efi'],,,,,,,
188512009,burkitt's lymphoma of intra-abdominal lymph nodes,Cancer,,,['efi'],,,,,,,
188513004,Burkitt's lymphoma-axilla/arm,Cancer,,,['efi'],,,,,,,
188514005,burkitt's lymphoma of lymph nodes of inguinal region and leg,Cancer,,,['efi'],,,,,,,
188515006,Burkitt's lymphoma-intrapelvic,Cancer,,,['efi'],,,,,,,
188516007,Burkitt's lymphoma of spleen,Cancer,,,['efi'],,,,,,,
188517003,Burkitt's lymphoma-multip.site,Cancer,,,['efi'],,,,,,,
188524002,Hodgkin's paragran-intrathorax,Cancer,,,['efi'],,,,,,,
188529007,Hodgkin's paragran-intrapelvic,Cancer,,,['efi'],,,,,,,
188531003,Hodgkin's paragran.-mult.sites,Cancer,,,['efi'],,,,,,,
188536008,Hodgkin's granuloma - intra-ab,Cancer,,,['efi'],,,,,,,
188537004,Hodgkin's granuloma-axilla/arm,Cancer,,,['efi'],,,,,,,
188538009,Hodgkin's granuloma-inguin/leg,Cancer,,,['efi'],,,,,,,
188541000,Hodgkin's granuloma-mult.sites,Cancer,,,['efi'],,,,,,,
188544008,Hodgkin's sarcoma - head/neck,Cancer,,,['efi'],,,,,,,
188548006,Hodgkin's sarcoma-inguinal/leg,Cancer,,,['efi'],,,,,,,
188551004,Hodgkin's sarcoma-multip.sites,Cancer,,,['efi'],,,,,,,
188554007,"Lymph-histio-Hodgkin,head/neck",Cancer,,,['efi'],,,,,,,
188558005,"Lymph-histio-Hodgkin,axil./arm",Cancer,,,['efi'],,,,,,,
188559002,"Lymph-histio-Hodgkin,ing./leg",Cancer,,,['efi'],,,,,,,
188562004,"Lymph-histio-Hodgkin,mult.site",Cancer,,,['efi'],,,,,,,
188565002,"hodgkin's nodular sclerosis of head, face and neck",Cancer,,,['efi'],,,,,,,
188566001,hodgkin's nodular sclerosis of intrathoracic lymph nodes,Cancer,,,['efi'],,,,,,,
188567005,hodgkin's nodular sclerosis of intra-abdominal lymph nodes,Cancer,,,['efi'],,,,,,,
188568000,Hodgkin's nod.scl.-axilla/arm,Cancer,,,['efi'],,,,,,,
188569008,Hodgkin's nod.scl.- inguin/leg,Cancer,,,['efi'],,,,,,,
188570009,Hodgkin's nod.scl.-intrapelvic,Cancer,,,['efi'],,,,,,,
188572001,hodgkin's nodular sclerosis of lymph nodes of multiple sites,Cancer,,,['efi'],,,,,,,
188575004,Hodgkin's mix cell-head/neck,Cancer,,,['efi'],,,,,,,
188576003,hodgkin's mixed cellularity of intrathoracic lymph nodes,Cancer,,,['efi'],,,,,,,
188577007,Hodgkin's mix cell-intra-abdom,Cancer,,,['efi'],,,,,,,
188578002,Hodgkin's mix cell-axilla/arm,Cancer,,,['efi'],,,,,,,
188579005,Hodgkin's mix cell-inguin/leg,Cancer,,,['efi'],,,,,,,
188580008,Hodgkin's mix cell-intrapelvic,Cancer,,,['efi'],,,,,,,
188582000,Hodgkin's mix cell-multip.site,Cancer,,,['efi'],,,,,,,
188585003,Hodgkin's lymp.dep.-head/neck,Cancer,,,['efi'],,,,,,,
188586002,Hodgkin's lymp.dep.-intrathor.,Cancer,,,['efi'],,,,,,,
